landseg,alf,hom,hwm,hyw,lwm,nal,nhi,nho,nhy,nlo,npa,pas,trp,bar,ext,for,hvf,hyo,puh,pul,urs,afo,imh,iml,wat,css
A24017,127.786,88.224,84.251,107.152,84.251,141.551,89.728,102.66,111.624,89.728,110.793,59.417,112.077,0,0,0,0,100.717,203.778,203.778,105.412,0,0,0,0,0
A24019,188.83,82.636,114.341,112.926,114.341,182.744,114.729,87.813,117.115,114.729,143.231,77.580,137.91,0,0,0,0,103.126,223.64,223.64,105.412,0,0,0,0,0
A24021,184.913,139.014,103.451,142.193,103.451,171.389,104.18,136.098,142.727,104.18,123.982,146.933,120.29,0,0,0,0,95.744,219.201,219.201,105.412,0,0,0,0,0
A24023,137.176,108.949,96.905,127.243,96.905,142.126,101.187,109.438,130.19,101.187,125.082,64.904,123.927,0,0,0,0,91.414,209.168,209.168,105.412,0,0,0,0,0
A24025,188.131,110.435,113.279,136.725,113.279,176.215,114.854,114.932,140.475,114.854,129.366,105.426,124.929,0,0,0,0,94.526,206.519,206.519,105.412,0,0,0,0,0
A24027,174.972,137.011,104.679,120.852,104.679,159.15,103.77,149.827,125.708,103.77,124.182,95.601,120.994,0,0,0,0,94.743,202.691,202.691,105.412,0,0,0,0,0
A24029,210.4,94.44,100.09,126.164,100.09,197.667,110.62,98.24,120.718,110.62,124.405,100.952,119.955,0,0,0,0,101.763,219.541,219.541,105.412,0,0,0,0,0
A24031,170.762,134.805,105.646,130.521,105.646,163.658,105.343,133.9,133.608,105.343,125.812,101.084,121.9,0,0,0,0,99.036,204.118,204.118,105.412,0,0,0,0,0
A24033,134.39,81.828,78.539,103.589,78.539,124.935,82.538,87.618,108.519,82.538,123.106,85.434,120.048,0,0,0,0,100.231,201.559,201.559,105.412,0,0,0,0,0
A24035,165.776,82,108.974,129.158,108.974,154.352,123.478,84.95,134.452,123.478,120.82,113.534,117.233,0,0,0,0,101.141,215.215,215.215,105.412,0,0,0,0,0
A24037,131.984,74.219,87.821,119.897,87.821,129.194,95.282,81.503,118.313,95.282,122.644,76.075,123.482,0,0,0,0,100.096,195.671,195.671,105.412,0,0,0,0,0
A24039,175.595,91.962,117.814,129.133,117.814,148.805,123.79,99.035,134.637,123.79,117.62,122.934,112.737,0,0,0,0,103.556,221.647,221.647,105.412,0,0,0,0,0
A24041,155.08,90.914,106.018,117.425,106.018,144.16,112.577,87.854,124.367,112.577,125.886,101.105,122.941,0,0,0,0,101.899,222.802,222.802,105.412,0,0,0,0,0
A24043,180.162,168.251,98.566,132.601,98.566,175.017,105.79,161.766,136.383,105.79,131.477,115.392,122.757,0,0,0,0,96.687,223.164,223.164,105.412,0,0,0,0,0
A24045,211.962,84.592,117.224,127.878,117.224,173.803,102.726,92.603,116.493,102.726,124.904,184.506,120.52,0,0,0,0,91.237,215.464,215.464,105.412,0,0,0,0,0
A24047,169.241,114.101,117.023,117.172,117.023,164.22,114.895,118.594,113.222,114.894,130.943,92.531,133.452,0,0,0,0,100.772,218.567,218.567,105.412,0,0,0,0,0
A24510,0,0,0,0,0,0,0,0,0,0,0,12.758,0,0,0,0,0,0,216.461,216.461,0,0,0,0,0,0
A36003,145.712,86.912,110.896,125.034,110.896,145.384,117.542,87.746,125.53,117.542,0,47.570,125.391,0,0,0,0,86.644,220.469,220.469,105.412,0,0,0,0,0
A36007,133.46,104.897,126.898,115.864,126.898,118.154,128.637,105.259,113.769,128.637,0,46.998,131.646,0,0,0,0,72.867,202.329,202.329,105.412,0,0,0,0,0
A36015,148.083,106.626,102.156,108.864,101.771,127.898,103.57,105.92,106.905,104.214,0,38.173,123.982,0,0,0,0,83.394,218.997,218.997,105.412,0,0,0,0,0
A36017,147.7,90.803,126.552,128.563,126.552,142.89,129.928,93.896,125.864,129.928,0,50.187,132.518,0,0,0,0,66.421,223.572,223.572,105.412,0,0,0,0,0
A36023,149.031,96.998,124.135,139.354,124.135,147.139,125.656,97.591,134.306,125.656,0,54.447,137.208,0,0,0,0,83.929,224.546,224.546,105.412,0,0,0,0,0
A36025,145.825,107.539,137.601,125.616,138.78,136.699,135.823,103.332,114.101,136.983,0,43.675,132.883,0,0,0,0,58.838,220.854,220.854,105.412,0,0,0,0,0
A36043,140.73,95.941,119.658,128.351,119.658,139.107,124.811,98.219,122.872,124.811,0,56.205,131.192,0,0,0,0,89.885,214.785,214.785,105.412,0,0,0,0,0
A36051,167.619,92.816,105.473,121.479,105.473,164.59,108.25,93.689,124.545,108.25,0,66.598,122.192,0,0,0,0,100.387,223.051,223.051,105.412,0,0,0,0,0
A36053,159.934,122.541,114.742,128.61,114.742,152.579,122.341,124.109,128.374,122.341,0,64.658,133.659,0,0,0,0,89.319,212.973,212.973,105.412,0,0,0,0,0
A36065,157.439,81.915,113.221,132.133,113.221,150.387,119.955,79.978,138.233,119.955,0,56.464,126.832,0,0,0,0,85.793,212.452,212.452,105.412,0,0,0,0,0
A36067,161.566,123.529,106.64,127.293,106.64,160.795,114.594,115.046,134.279,114.594,0,90.386,124.886,0,0,0,0,100.791,211.546,211.546,105.412,0,0,0,0,0
A36069,158.635,93.575,101.722,116.116,101.722,157.853,104.561,92.887,116.552,104.561,0,79.119,122.001,0,0,0,0,102.421,222.734,222.734,105.412,0,0,0,0,0
A36077,142.325,100.116,121.656,123.258,121.656,142.349,122.367,106.858,111.901,122.367,0,47.039,132.53,0,0,0,0,67.543,216.732,216.732,105.412,0,0,0,0,0
A36095,132.002,122.253,123.253,118.907,123.253,124.671,125.069,115.38,114.724,125.069,0,51.443,127.992,0,0,0,0,74.557,224.115,224.115,105.412,0,0,0,0,0
A36097,132.618,166.818,99.455,110.8,99.455,131.138,106.584,163.407,107.675,106.584,0,41.299,133.847,0,0,0,0,90,223.526,223.526,105.412,0,0,0,0,0
A36101,140.118,145.172,97.443,119.1,97.443,139.283,101.065,141.361,116.755,101.065,0,40.067,128.842,0,0,0,0,85.86,220.152,220.152,105.412,0,0,0,0,0
A36107,128.76,93.429,109.761,114.922,109.761,125.956,110.319,101.95,113.354,110.319,0,49.927,130.674,0,0,0,0,81.711,216.053,216.053,105.412,0,0,0,0,0
A36109,161.299,107.373,103.786,125.379,103.786,160.086,107.38,106.466,122.395,107.38,0,68.607,123.663,0,0,0,0,90.814,216.37,216.37,105.412,0,0,0,0,0
A36123,144.753,151.033,99.778,111.032,99.778,135.736,100.671,154.278,111.884,100.671,0,67.041,114.615,0,0,0,0,97.28,216.823,216.823,105.412,0,0,0,0,0
A42001,160.913,190.938,85.061,132.585,85.061,160.913,85.061,190.938,132.585,85.061,0,96.669,125.144,0,0,0,0,95.063,220.831,220.831,105.412,0,0,0,0,0
A42009,160.176,159.158,106.25,116.526,106.25,160.176,106.25,159.158,116.526,106.25,0,84.812,122.361,0,0,0,0,93.24,222.168,222.168,105.412,0,0,0,0,0
