landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A42065,0,0.2475,0.375,0.443,0.0934,0.754,1.0125,0.4969,0.18,0.1165,0,0,0.4969,0.1142,0.1903,0.1902,12.589,8.505,0,0.198,0.3975,0.6032,0.0932,0.3975,0.0914
A42067,0,0.2475,0.375,0.443,0.0976,0.7418,1.0125,0.5542,0.18,0.175,0,0,0.5541,0.1762,0.1249,0.1248,19.4131,8.505,0,0.198,0.4434,0.5934,0.14,0.4433,0.1409
A42069,0,0.2475,0.375,0.443,0.0973,0.7031,1.0125,0.5969,0.18,0.1219,0,0,0.5967,0.1207,0.1563,0.1563,13.2999,8.505,0,0.198,0.4775,0.5625,0.0976,0.4774,0.0966
A42071,0,0.2475,0.375,0.443,0.1443,0.7436,1.0125,0.5806,0.18,0.1982,0,0,0.5805,0.3326,0.1459,0.1459,36.6488,8.505,0,0.198,0.4645,0.5949,0.1585,0.4644,0.2661
A42075,0,0.2475,0.375,0.443,0.1304,0.865,1.0125,0.5806,0.18,0.1871,0,0,0.5804,0.2734,0.1613,0.1613,30.1302,8.505,0,0.198,0.4644,0.692,0.1497,0.4643,0.2187
A42079,0,0.2475,0.375,0.443,0.0963,0.7482,1.0125,0.5043,0.18,0.1191,0,0,0.5043,0.1222,0.1549,0.1549,13.4621,8.505,0,0.198,0.4034,0.5985,0.0953,0.4035,0.0977
A42081,0,0.2475,0.375,0.443,0.0875,0.7502,1.0125,0.503,0.18,0.1145,0,0,0.5031,0.1319,0.1807,0.1807,14.5313,8.505,0,0.198,0.4024,0.6001,0.0916,0.4024,0.1055
A42083,0,0.2475,0.375,0.443,0.0916,0.7299,1.0125,0.5693,0.18,0.119,0,0,0.585,0.0999,0.2074,0.2073,11.0114,8.505,0,0.198,0.4554,0.5839,0.0952,0.468,0.0799
A42087,0,0.2475,0.375,0.443,0.0943,0.7279,1.0125,0.5515,0.18,0.1179,0,0,0.5514,0.1837,0.1598,0.1598,20.2389,8.505,0,0.198,0.4412,0.5824,0.0943,0.4411,0.1469
A42093,0,0.2475,0.375,0.443,0.0934,0.9582,1.0125,0.4951,0.18,0.1121,0,0,0.4951,0.1486,0.1306,0.1306,16.373,8.505,0,0.198,0.396,0.7666,0.0897,0.3961,0.1189
