landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A24035,0,0.056,0.972,0.101,0.014,0.268,0.285,0.539,0.041,0.037,0,0,0.508,0.021,0.327,0.327,1.11,1.945,0,0.045,0.431,0.214,0.03,0.407,0.017
A24037,0,0.056,0.972,0.101,0.012,0.201,0.285,0.507,0.041,0.037,0,0,0.477,0.017,0.275,0.275,0.902,1.945,0,0.045,0.405,0.161,0.029,0.382,0.013
A24039,0,0.056,0.972,0.101,0.013,0.243,0.285,0.465,0.041,0.052,0,0,0.438,0.022,0.481,0.483,1.181,1.945,0,0.045,0.372,0.194,0.042,0.35,0.018
A24041,0,0.056,0.972,0.101,0.013,0.24,0.285,0.516,0.041,0.045,0,0,0.486,0.019,0.443,0.443,1.041,1.945,0,0.045,0.413,0.192,0.036,0.389,0.016
A24043,0,0.056,0.972,0.101,0.013,0.216,0.285,0.584,0.041,0.056,0,0,0.551,0.021,0.188,0.187,1.114,1.945,0,0.045,0.467,0.173,0.044,0.441,0.017
A24045,0,0.056,0.972,0.101,0.014,0.233,0.285,0.534,0.041,0.05,0,0,0.502,0.029,0.35,0.35,1.535,1.945,0,0.045,0.427,0.186,0.04,0.402,0.023
A24047,0,0.056,0.972,0.101,0.013,0.234,0.285,0.477,0.041,0.059,0,0,0.45,0.019,0.341,0.342,1.003,1.945,0,0.045,0.382,0.187,0.047,0.36,0.015
A24510,0,0.056,0.972,0.101,0.015,0.242,0.285,0.547,0.041,0.077,0,0,0.515,0.009,0.441,0.441,0.514,1.945,0,0.045,0.438,0.194,0.061,0.412,0.008
A36003,0,0.056,0.972,0.101,0.012,0.257,0.285,0.747,0.041,0.03,0,0,0.706,0.014,0.324,0.323,0.728,1.945,0,0.045,0.597,0.205,0.024,0.565,0.011
A36007,0,0.056,0.972,0.101,0.012,0.234,0.285,0.794,0.041,0.034,0,0,0.751,0.013,0.385,0.385,0.725,1.945,0,0.045,0.635,0.187,0.027,0.601,0.011
A36015,0,0.056,0.972,0.101,0.012,0.238,0.285,0.691,0.041,0.037,0,0,0.637,0.012,0.29,0.289,0.674,1.945,0,0.045,0.553,0.191,0.03,0.509,0.01
A36017,0,0.056,0.972,0.101,0.012,0.257,0.285,0.806,0.041,0.03,0,0,0.763,0.014,0.455,0.455,0.742,1.945,0,0.045,0.645,0.205,0.024,0.61,0.011
A36023,0,0.056,0.972,0.101,0.013,0.225,0.285,0.791,0.041,0.022,0,0,0.749,0.014,0.453,0.451,0.766,1.945,0,0.045,0.633,0.18,0.018,0.599,0.011
A36025,0,0.056,0.972,0.101,0.012,0.227,0.285,0.849,0.041,0.032,0,0,0.818,0.013,0.387,0.386,0.705,1.945,0,0.045,0.679,0.181,0.025,0.654,0.01
A36043,0,0.056,0.972,0.101,0.011,0.252,0.285,0.752,0.041,0.028,0,0,0.712,0.014,0.435,0.435,0.778,1.945,0,0.045,0.601,0.201,0.023,0.569,0.012
A36051,0,0.056,0.972,0.101,0.012,0.258,0.285,0.703,0.041,0.033,0,0,0.666,0.016,0.343,0.343,0.837,1.945,0,0.045,0.562,0.206,0.026,0.533,0.012
A36053,0,0.056,0.972,0.101,0.013,0.208,0.285,0.724,0.041,0.029,0,0,0.686,0.015,0.404,0.403,0.824,1.945,0,0.045,0.579,0.166,0.023,0.548,0.012
A36065,0,0.056,0.972,0.101,0.012,0.314,0.285,0.698,0.041,0.027,0,0,0.66,0.014,0.42,0.42,0.778,1.945,0,0.045,0.558,0.251,0.021,0.528,0.012
A36067,0,0.056,0.972,0.101,0.013,0.219,0.285,0.683,0.041,0.03,0,0,0.646,0.018,0.445,0.444,0.975,1.945,0,0.045,0.546,0.175,0.024,0.517,0.015
A36069,0,0.056,0.972,0.101,0.013,0.266,0.285,0.674,0.041,0.041,0,0,0.638,0.017,0.309,0.309,0.91,1.945,0,0.045,0.539,0.213,0.032,0.51,0.014
A36077,0,0.056,0.972,0.101,0.012,0.233,0.285,0.709,0.041,0.031,0,0,0.672,0.013,0.407,0.407,0.724,1.945,0,0.045,0.567,0.186,0.025,0.537,0.011
A36095,0,0.056,0.972,0.101,0.012,0.221,0.285,0.709,0.041,0.033,0,0,0.671,0.014,0.406,0.406,0.75,1.945,0,0.045,0.567,0.177,0.026,0.537,0.011
A36097,0,0.056,0.972,0.101,0.012,0.234,0.285,0.716,0.041,0.038,0,0,0.678,0.013,0.326,0.326,0.692,1.945,0,0.045,0.573,0.187,0.031,0.542,0.01
A36101,0,0.056,0.972,0.101,0.012,0.213,0.285,0.678,0.041,0.032,0,0,0.641,0.013,0.249,0.248,0.686,1.945,0,0.045,0.542,0.171,0.026,0.513,0.01
A36107,0,0.056,0.972,0.101,0.012,0.228,0.285,0.778,0.041,0.036,0,0,0.736,0.014,0.359,0.359,0.742,1.945,0,0.045,0.623,0.182,0.028,0.589,0.011
A36109,0,0.056,0.972,0.101,0.012,0.216,0.285,0.698,0.041,0.03,0,0,0.66,0.016,0.433,0.434,0.848,1.945,0,0.045,0.558,0.173,0.024,0.528,0.013
