landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A42071,152.9028309,0.165,0.75,0.6563,0.0721,2.4788,0.225,0.9677,0.12,0.7927,7.8131,7.8131,0.7933,0.8868,0.2918,0.2917,42.1251,12.6,7.8131,0.132,0.7742,1.983,0.6341,0.6347,0.7095
A42075,187.1828623,0.165,0.75,0.6563,0.0652,2.8834,0.225,0.9676,0.12,0.7485,7.3516,7.3516,0.7932,0.7291,0.3226,0.3226,34.6324,12.6,7.3516,0.132,0.7741,2.3067,0.5988,0.6346,0.5833
A42079,23.15934828,0.165,0.75,0.6563,0.0482,2.4938,0.225,0.8405,0.12,0.4764,5.6512,5.6512,0.6893,0.3258,0.3098,0.3097,15.4736,12.6,5.6512,0.132,0.6724,1.9951,0.3811,0.5514,0.2606
A42081,36.47729851,0.165,0.75,0.6563,0.0437,2.5006,0.225,0.8384,0.12,0.4579,4.8649,4.8649,0.6875,0.3516,0.3614,0.3614,16.7026,12.6,4.8649,0.132,0.6707,2.0004,0.3663,0.55,0.2813
A42083,21.25413804,0.165,0.75,0.6563,0.0458,2.4329,0.225,0.9488,0.12,0.4759,6.2205,6.2205,0.7995,0.2665,0.4148,0.4147,12.6567,12.6,6.2205,0.132,0.759,1.9463,0.3807,0.6396,0.2132
A42087,65.53951347,0.165,0.75,0.6563,0.0471,2.4265,0.225,0.9192,0.12,0.4717,5.1704,5.1704,0.7536,0.4897,0.3195,0.3195,23.2631,12.6,5.1704,0.132,0.7353,1.9412,0.3773,0.6029,0.3918
A42093,45.56196838,0.165,0.75,0.6563,0.0467,3.194,0.225,0.8251,0.12,0.4483,5.0894,5.0894,0.6767,0.3962,0.2613,0.2612,18.8196,12.6,5.0894,0.132,0.6601,2.5552,0.3587,0.5413,0.317
A42097,125.5385213,0.165,0.75,0.6563,0.0488,3.5192,0.225,0.8402,0.12,0.5205,5.4306,5.4306,0.689,0.4013,0.3132,0.3132,19.0611,12.6,5.4306,0.132,0.6721,2.8153,0.4164,0.5512,0.321
A42099,116.2901345,0.165,0.75,0.6563,0.0504,2.4569,0.225,0.9281,0.12,0.5337,5.4993,5.4993,0.7609,0.4132,0.3147,0.3147,19.6275,12.6,5.4993,0.132,0.7425,1.9655,0.4269,0.6087,0.3306
A42105,44.41854696,0.165,0.75,0.6563,0.0435,2.7968,0.225,0.9075,0.12,0.4818,5.0805,5.0806,0.744,0.3055,0.3316,0.3316,14.5122,12.6,5.0805,0.132,0.726,2.2374,0.3855,0.5952,0.2444
A42107,164.5538712,0.165,0.75,0.6563,0.0506,2.386,0.225,0.8832,0.12,0.562,6.3005,6.3005,0.7242,0.4018,0.3753,0.3753,19.0873,12.6,6.3005,0.132,0.7066,1.9088,0.4496,0.5794,0.3215
A42109,118.0522414,0.165,0.75,0.6563,0.05,2.3609,0.225,0.8992,0.12,0.6242,5.5392,5.5393,0.7372,0.4908,0.2958,0.2957,23.3135,12.6,5.5392,0.132,0.7193,1.8887,0.4994,0.5898,0.3926
A42111,45.15278251,0.165,0.75,0.6563,0.0483,2.5692,0.225,0.8893,0.12,0.4731,5.4756,5.4756,0.7292,0.3775,0.3263,0.3263,17.9322,12.6,5.4756,0.132,0.7114,2.0553,0.3785,0.5833,0.302
