TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A51595,1,0,1,0,1.981099,0.500000,0.198110,1.981099,0.500000
A51600,1,0,1,0,13.16256,0.500000,1.316256,13.16256,0.500000
A51610,1,0,1,0,13.33310,0.500000,1.333310,13.33310,0.500000
A51620,1,0,1,0,1.936965,0.500000,0.193697,1.936965,0.500000
A51630,1,0,1,0,13.38724,0.500000,1.338724,13.38724,0.500000
A51640,1,0,1,0,2.001170,0.500000,0.200118,2.001170,0.500000
A51650,1,0,1,0,13.04429,0.500000,1.304429,13.04429,0.500000
A51660,1,0,1,0,14.10353,0.500000,1.410354,14.10353,0.500000
A51670,1,0,1,0,13.37248,0.500000,1.337248,13.37248,0.500000
A51678,1,0,1,0,13.80789,0.500000,1.380789,13.80789,0.500000
A51680,1,0,1,0,13.60181,0.500000,1.360182,13.60181,0.500000
A51683,1,0,1,0,13.32257,0.500000,1.332257,13.32257,0.500000
A51685,1,0,1,0,13.31074,0.500000,1.331074,13.31074,0.500000
A51690,1,0,1,0,1.977720,0.500000,0.197772,1.977720,0.500000
A51700,1,0,1,0,12.98669,0.500000,1.298670,12.98669,0.500000
A51710,1,0,1,0,13.01561,0.500000,1.301561,13.01561,0.500000
A51720,1,0,1,0,1.826365,0.500000,0.182637,1.826365,0.500000
A51730,1,0,1,0,13.47259,0.500000,1.347260,13.47259,0.500000
A51735,1,0,1,0,13.09255,0.500000,1.309255,13.09255,0.500000
A51740,1,0,1,0,13.01440,0.500000,1.301440,13.01440,0.500000
A51750,1,0,1,0,2.027807,0.500000,0.202781,2.027807,0.500000
A51760,1,0,1,0,13.49449,0.500000,1.349449,13.49449,0.500000
A51770,1,0,1,0,2.069940,0.500000,0.206994,2.069940,0.500000
A51775,1,0,1,0,2.072935,0.500000,0.207294,2.072935,0.500000
A51790,1,0,1,0,13.84226,0.500000,1.384227,13.84226,0.500000
