 point source lrseg ,A42009SJ4_2360_2340
 point source lrseg ,A42075SL2_2300_2520
 point source lrseg ,A42043SL4_2140_2240
 point source lrseg ,A42061SJ3_2040_1980
 point source lrseg ,A42133SL2_2750_2720
 point source lrseg ,A42067SJ6_1970_2130
 point source lrseg ,C42009SJ4_2660_2360
 point source lrseg ,B42055SL2_2540_2370
 point source lrseg ,A42061SJ3_2450_2120
 point source lrseg ,A42075SL4_2100_2140
 point source lrseg ,A42099SL8_2080_2050
 point source lrseg ,A42009PU1_3580_3780
 point source lrseg ,A42057PU1_3030_3440
 point source lrseg ,B42043SL4_2140_2240
 point source lrseg ,A42061SJ5_2210_2320
 point source lrseg ,A42109SL8_1880_2030
 point source lrseg ,A42013SJ3_2230_2060
 point source lrseg ,A42009SJ2_2570_2660
 point source lrseg ,A42063ZZ0_9999_9999
 point source lrseg ,A42033SW2_1950_1940
 point source lrseg ,A42047SW2_1360_1430
 point source lrseg ,A42097SL8_1880_2030
 point source lrseg ,A42061SJ4_2060_2010
 point source lrseg ,B42081SW3_1250_1340
 point source lrseg ,A42067SJ3_2160_2170
 point source lrseg ,A42015SU5_0610_0600
 point source lrseg ,A42015SU7_0750_0850
 point source lrseg ,A42093SU8_1610_1530
 point source lrseg ,A42033SW4_1940_1860
 point source lrseg ,A42037SU3_1310_1280
 point source lrseg ,A42023SW4_1430_1490
 point source lrseg ,B42081SW4_1260_1300
 point source lrseg ,A42081SW3_1220_1320
 point source lrseg ,A42033SW5_1540_1400
 point source lrseg ,B42119SL3_1710_1740
 point source lrseg ,B42015SU3_0870_0730
 point source lrseg ,A42027SL3_1710_1740
 point source lrseg ,A42117SU1_0820_0740
 point source lrseg ,A42097SW7_1640_1680
 point source lrseg ,A42037SW1_1510_1680
 point source lrseg ,A42037SU2_1210_1310
 point source lrseg ,A42117SU3_0790_0770
 point source lrseg ,A42033SW3_1800_1650
 point source lrseg ,B42027SW0_1520_1600
 point source lrseg ,A42033SW5_1650_1540
 point source lrseg ,A42063SW2_1950_1940
 point source lrseg ,A42081SW4_1260_1300
 point source lrseg ,A42097SW1_1510_1680
 point source lrseg ,A42117SU2_0680_0610
 point source lrseg ,A42033SW3_1870_1800
 point source lrseg ,A42033SW2_2020_1940
 point source lrseg ,A42117SW3_1080_1350
 point source lrseg ,A42015SU2_0680_0610
 point source lrseg ,A42097SL8_1780_1880
 point source lrseg ,A42047ZZ0_9999_9999
 point source lrseg ,C42009SJ4_2360_2340
 point source lrseg ,A42075SL4_2140_2240
 point source lrseg ,A42055PU3_2510_3290
 point source lrseg ,B42027SW2_1770_1690
 point source lrseg ,B42009SJ3_2250_2230
 point source lrseg ,A42097SW1_1450_1510
 point source lrseg ,A42109SL3_1740_1840
 point source lrseg ,A42009SJ2_2820_2740
 point source lrseg ,A42119SW1_1570_1640
 point source lrseg ,B42035SW6_1230_1440
 point source lrseg ,B42055SL4_2370_2330
 point source lrseg ,A42009SJ3_2250_2230
 point source lrseg ,A42105SU1_0820_0740
 point source lrseg ,A42015SU5_0600_0750
 point source lrseg ,A42021SJ3_2250_2230
 point source lrseg ,A42117SW2_1000_1110
 point source lrseg ,A42111PU3_3680_3890
