TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A51023,3.512000,1,0.03,0.3,0,50,530.1795,5,0.5,2,0,550,28.37900,5,1,8,0,300,2.313500,6,0.5,1,0,100,0,0,0,0,na,na
A51025,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51027,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51029,1.783500,1,0.03,0.3,0,50,169.7175,5,0.5,2,0,550,49.91200,5,1,8,0,300,1.730000,6,0.5,1,0,100,0,0,0,0,na,na
A51031,4.806500,1,0.03,0.3,0,50,108.2425,5,0.5,2,0,550,50.24850,5,1,8,0,300,1.484000,6,0.5,1,0,100,0,0,0,0,na,na
A51033,2.150500,1,0.03,0.3,0,50,137.4350,5,0.5,2,0,550,104.0965,5,1,8,0,300,8.241500,6,0.5,1,0,100,0,0,0,0,na,na
A51035,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51036,5.565000,1,0.03,0.3,0,50,298.8310,5,0.5,2,0,550,70.50750,5,1,8,0,300,6.594000,6,0.5,1,0,100,0,0,0,0,na,na
A51037,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51041,4.296000,1,0.03,0.3,0,50,76.73600,5,0.5,2,0,550,118.3585,5,1,8,0,300,10.22650,6,0.5,1,0,100,0,0,0,0,na,na
